,Street,Area,City,Price,beds,baths,Url,Rent_per_room,lat,lng,avg_per_area
150,6K Tahora Avenue,Remuera,Auckland,570.0,2.0,1.0,https://www.myrent.co.nz/listings/E3MSVI,285.0,-36.88237879999999,174.8114181,369.0
151,,TotaraVale,Auckland,650.0,3.0,1.0,https://www.myrent.co.nz/listings/LCETTN,216.66666666666663,-36.759634999999996,174.7334974,194.99999999999994
152,51B Canal Road,Avondale,Auckland,580.0,3.0,1.0,https://www.myrent.co.nz/listings/SEPHRR,193.33333333333331,-36.8937431,174.68690759999998,183.69047619047618
153,6A Nugent Street,Grafton,Auckland,780.0,2.0,1.0,https://www.myrent.co.nz/listings/PUUNKB,390.0,-36.86587479999999,174.7649376,292.91666666666663
154,5/1 Eldon Road,MountEden,Auckland,390.0,1.0,1.0,https://www.myrent.co.nz/listings/WKWZGH,390.0,-36.8855472,174.743975,346.75
155,4/511 Parnell Road,Parnell,Auckland,650.0,2.0,1.0,https://www.myrent.co.nz/listings/YACJBM,325.0,-36.8618988,174.78154980000002,366.875
156,G04/7 Ratanui Street,Henderson,Auckland,495.0,1.0,1.0,https://www.myrent.co.nz/listings/W8GJQV,495.0,-36.878625799999995,174.6328938,322.57575757575756
157,74 Sunset Road,UnsworthHeights,Auckland,255.0,1.0,1.0,https://www.myrent.co.nz/listings/DNIX8M,255.0,-36.7602905,174.7230176,263.75
158,16 Glenbervie Crescent,Massey,Auckland,260.0,1.0,1.0,https://www.myrent.co.nz/listings/KNDIPK,260.0,-36.8321708,174.6116955,219.79166666666666
159,3/3 Patterson Street,Sandringham,Auckland,530.0,2.0,1.0,https://www.myrent.co.nz/listings/E2VFOI,265.0,-36.8867157,174.7388764,227.97619047619045
160,3/43 Holly Street,Avondale,Auckland,580.0,3.0,1.0,https://www.myrent.co.nz/listings/AYQM4W,193.33333333333331,-36.888274100000004,174.69326619999998,183.69047619047618
161,46 Edmund Street,StHeliers,Auckland,895.0,5.0,2.0,https://www.myrent.co.nz/listings/V7QFFH,179.0,-36.858287700000005,174.8485625,191.16666666666666
162,13 Mount Street,AucklandCentral,Auckland,425.0,1.0,1.0,https://www.myrent.co.nz/listings/869HDH,425.0,-36.85454779999999,174.7665794,383.5460992907801
163,135 Exmouth Road,Northcote,Auckland,375.0,1.0,1.0,https://www.myrent.co.nz/listings/VHWMSB,375.0,-36.8069026,174.7561044,203.75
164,5/89 Richmond Road,GreyLynn,Auckland,535.0,1.0,1.0,https://www.myrent.co.nz/listings/9FXKVX,535.0,-36.856969299999996,174.74133669999998,347.33333333333337
165,2/47A Wintere Road,Papatoetoe,Auckland,540.0,2.0,1.0,https://www.myrent.co.nz/listings/5TXRPG,270.0,-36.9704106,174.8647905,228.78571428571428
166,8 Walters Road,MountWellington,Auckland,555.0,3.0,1.0,https://www.myrent.co.nz/listings/UQQSLK,185.0,-36.93434209999999,174.84516409999998,248.48484848484847
167,218/69 Hall Avenue,Mangere,Auckland,450.0,1.0,1.0,https://www.myrent.co.nz/listings/ZXC6OB,450.0,-36.95928010000001,174.7971983,398.3333333333333
168,147 Millhouse Drive,Golflands,Auckland,750.0,4.0,2.0,https://www.myrent.co.nz/listings/XSMNHX,187.5,-36.919531400000004,174.9138935,187.5
169,41/17 Lyon Avenue,MountAlbert,Auckland,750.0,3.0,2.0,https://www.myrent.co.nz/listings/UVU6PS,250.0,-36.882925799999995,174.7281508,250.0
170,70 Portage Road,NewLynn,Auckland,600.0,4.0,1.0,https://www.myrent.co.nz/listings/YYAP25,150.0,-36.916506899999995,174.6913759,272.72727272727275
171,3 Western Springs Road,Morningside,Auckland,975.0,3.0,1.0,https://www.myrent.co.nz/listings/PDBEQZ,325.0,-36.8727352,174.73737490000002,269.4444444444444
172,787 Scenic Drive,HendersonValley,Auckland,310.0,1.0,1.0,https://www.myrent.co.nz/listings/W6DBFM,310.0,-36.899364500000004,174.5457954,315.0
173,84 Fred Taylor Drive,Westgate,Auckland,735.0,3.0,2.0,https://www.myrent.co.nz/listings/QJ5POY,245.0,-36.8158131,174.5987356,245.0
174,3A/72 Wellesley Street West,AucklandCentral,Auckland,795.0,2.0,1.0,https://www.myrent.co.nz/listings/QTMTFD,397.5,-36.849876,174.760203,383.5460992907801
175,2H/50 Eden Crescent,AucklandCentral,Auckland,630.0,2.0,1.0,https://www.myrent.co.nz/listings/ZUJJDR,315.0,-36.8487481,174.7726295,383.5460992907801
176,11 Lansdowne Street,Bayswater,Auckland,345.0,1.0,1.0,https://www.myrent.co.nz/listings/M3WIQP,345.0,-36.813977799999996,174.7703945,347.5
177,2/211 Manukau Road,Epsom,Auckland,700.0,3.0,1.0,https://www.myrent.co.nz/listings/UCRWBL,233.33333333333331,-36.883108,174.7754434,368.94791666666663
178,E5/71 Spencer Road,Oteha,Auckland,545.0,2.0,1.0,https://www.myrent.co.nz/listings/MYEU12,272.5,-36.72704969999999,174.7161398,237.5
179,1303/6 Lorne Street,AucklandCentral,Auckland,730.0,2.0,2.0,https://www.myrent.co.nz/listings/VJWOUZ,365.0,-36.8498224,174.7661639,383.5460992907801
180,3/90 Namata Road,OneTreeHill,Auckland,700.0,3.0,1.0,https://www.myrent.co.nz/listings/4AVKJN,233.33333333333331,-36.909452,174.791888,244.16666666666666
181,31 Keppell Street,GreyLynn,Auckland,650.0,2.0,1.0,https://www.myrent.co.nz/listings/SDTJ8E,325.0,-36.8660643,174.74847490000002,347.33333333333337
182,9A Essex Street,TeAtatuSouth,Auckland,510.0,3.0,1.0,https://www.myrent.co.nz/listings/GSTTMK,170.0,-36.870326299999995,174.6441936,191.0
183,709/2 Beach Road,AucklandCentral,Auckland,610.0,1.0,1.0,https://www.myrent.co.nz/listings/9BK3NR,610.0,-36.8453025,174.7709543,383.5460992907801
184,5 Truman Street,SaintJohns,Auckland,540.0,3.0,1.0,https://www.myrent.co.nz/listings/CCDVCM,180.0,-36.873787899999996,174.8357343,206.5
185,2/19 Milan Road,Papatoetoe,Auckland,380.0,1.0,1.0,https://www.myrent.co.nz/listings/1R1SVS,380.0,-36.9894573,174.8488269,228.78571428571428
186,107/3 Bluegrey Avenue,Stonefields,Auckland,500.0,1.0,1.0,https://www.myrent.co.nz/listings/DQXI7F,500.0,-36.88539420000001,174.84150219999998,408.75
187,4156 Great North Road,Glendene,Auckland,580.0,3.0,1.0,https://www.myrent.co.nz/listings/NWQSHF,193.33333333333331,-36.8947031,174.64468480000002,193.33333333333331
188,21A Blenheim Street,Glenfield,Auckland,500.0,2.0,1.0,https://www.myrent.co.nz/listings/S3AWDT,250.0,-36.7873034,174.7286029,228.88888888888889
189,32A Norman Close,TheGardens,Auckland,550.0,2.0,1.0,https://www.myrent.co.nz/listings/7A95KD,275.0,-37.0038333,174.9161786,239.99999999999997
190,1G/10 Hobson Street,AucklandCentral,Auckland,530.0,1.0,1.0,https://www.myrent.co.nz/listings/HFQARN,530.0,-36.845040600000004,174.7632584,383.5460992907801
191,3/49 Corunna Road,Milford,Auckland,560.0,2.0,1.0,https://www.myrent.co.nz/listings/SFXVTE,280.0,-36.7720633,174.7525971,224.16666666666666
192,2/17 Paris Place,Birkenhead,Auckland,510.0,3.0,1.0,https://www.myrent.co.nz/listings/1ZT1NX,170.0,-36.806232200000004,174.71432980000003,168.33333333333331
193,40A Swinburne Street,BlockhouseBay,Auckland,450.0,1.0,1.0,https://www.myrent.co.nz/listings/UEPXTL,450.0,-36.9162154,174.6921409,256.66666666666663
194,800 East Coast Road,Oteha,Auckland,650.0,3.0,1.0,https://www.myrent.co.nz/listings/QWKTRN,216.66666666666663,-36.721398799999996,174.723401,237.5
195,4/511 Parnell Road,Parnell,Auckland,625.0,2.0,1.0,https://www.myrent.co.nz/listings/URSMVO,312.5,-36.8618988,174.78154980000002,366.875
196,7/4 View Road,MountEden,Auckland,725.0,2.0,1.0,https://www.myrent.co.nz/listings/D7UATV,362.5,-36.8742217,174.7612611,346.75
197,3A Stanhope Road,MountWellington,Auckland,600.0,2.0,1.0,https://www.myrent.co.nz/listings/AKDNVO,300.0,-36.896266,174.8297596,248.48484848484847
198,115 Luke Street East,Otahuhu,Auckland,580.0,4.0,1.0,https://www.myrent.co.nz/listings/MTAEM4,145.0,-36.93592720000001,174.85500090000002,230.71428571428572
199,26 Montanez Drive,FlatBush,Auckland,710.0,4.0,3.0,https://www.myrent.co.nz/listings/1P1LHS,177.5,-36.96668820000001,174.92017019999997,242.61111111111111
200,87 Browns Road,Manurewa,Auckland,520.0,3.0,1.0,https://www.myrent.co.nz/listings/ZKSRUB,173.33333333333337,-37.0123565,174.88037930000002,206.42857142857142
